epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,6903.52,0.6805,3.14984,0.26721,0.42937,1.10428,0.97346,0.97655,0.9908,0.89245,0.8574,0.82678,0.8441,0.69916,0.54752,1.93879,0.05226,0.27655,0.97889,0.006337,0.006337,0.006337
39,7086.23,0.67825,3.11899,0.2629,0.42541,1.09989,0.97049,0.9777,0.99078,0.89139,0.85712,0.82847,0.84354,0.69825,0.54642,1.92861,0.0516,0.27525,0.9783,0.006238,0.006238,0.006238
40,7269.08,0.67404,3.08054,0.26347,0.42513,1.09976,0.96949,0.97732,0.99087,0.892,0.86292,0.83191,0.84947,0.70144,0.54406,1.89599,0.05202,0.27372,0.97544,0.006139,0.006139,0.006139
41,7452.16,0.66751,3.05238,0.26153,0.41732,1.09425,0.97148,0.97719,0.99092,0.89215,0.85998,0.83255,0.84763,0.70288,0.54264,1.90037,0.05093,0.27318,0.97381,0.00604,0.00604,0.00604
42,7634.79,0.66865,3.04712,0.26052,0.41505,1.09465,0.97248,0.97668,0.9909,0.89231,0.86198,0.83251,0.84788,0.70444,0.54225,1.89189,0.05058,0.27293,0.97345,0.005941,0.005941,0.005941
43,7817.83,0.66183,3.01711,0.25907,0.41295,1.09161,0.97201,0.97804,0.99081,0.89262,0.86288,0.83165,0.84797,0.70553,0.54028,1.88402,0.05007,0.27113,0.97152,0.005842,0.005842,0.005842
44,8000.53,0.66412,2.98682,0.25646,0.41434,1.09292,0.97151,0.97948,0.99097,0.89306,0.8659,0.83522,0.85141,0.70818,0.54068,1.86719,0.04946,0.27031,0.97269,0.005743,0.005743,0.005743
45,8183.1,0.66051,2.98189,0.25667,0.41292,1.09273,0.97278,0.97908,0.99104,0.89385,0.86779,0.83144,0.85208,0.71116,0.54003,1.85824,0.04875,0.26867,0.97267,0.005644,0.005644,0.005644
46,8365.35,0.65858,2.96349,0.25466,0.40994,1.09046,0.97153,0.97936,0.99103,0.89493,0.86855,0.83365,0.85419,0.71428,0.53888,1.8519,0.04842,0.26727,0.97192,0.005545,0.005545,0.005545
47,8548.02,0.65961,2.95213,0.25425,0.40804,1.09167,0.97213,0.97974,0.99114,0.89581,0.87121,0.83764,0.85728,0.71731,0.53651,1.83344,0.04822,0.26567,0.97034,0.005446,0.005446,0.005446
48,8730.79,0.65875,2.91413,0.25027,0.40764,1.08985,0.97306,0.98035,0.99129,0.89687,0.87185,0.84236,0.86292,0.72138,0.53525,1.82021,0.04792,0.264,0.96936,0.005347,0.005347,0.005347
49,8913.34,0.65151,2.89099,0.24926,0.40493,1.08535,0.9722,0.98053,0.99118,0.89721,0.87514,0.84317,0.86541,0.72246,0.53425,1.80807,0.04781,0.26293,0.96871,0.005248,0.005248,0.005248
50,9090.85,0.65247,2.89064,0.24771,0.40598,1.08555,0.97273,0.98063,0.99125,0.89747,0.86969,0.84593,0.86515,0.72328,0.53406,1.81048,0.04749,0.26229,0.9684,0.005149,0.005149,0.005149
51,9263.82,0.65084,2.85121,0.24726,0.40816,1.08515,0.97303,0.98088,0.99123,0.89806,0.86654,0.84894,0.86495,0.72505,0.53334,1.80573,0.04716,0.2619,0.96789,0.00505,0.00505,0.00505
52,9434.62,0.64913,2.86174,0.24664,0.40212,1.08637,0.97285,0.98063,0.99125,0.89868,0.87096,0.84378,0.86392,0.72588,0.53146,1.80132,0.04688,0.2604,0.96684,0.004951,0.004951,0.004951
53,9609.15,0.64602,2.8302,0.24428,0.39608,1.08126,0.97241,0.97922,0.99121,0.8995,0.87277,0.84533,0.86533,0.72663,0.52953,1.79233,0.04647,0.25979,0.96554,0.004852,0.004852,0.004852
54,9782.36,0.63763,2.78437,0.24397,0.39695,1.07818,0.97145,0.9801,0.99125,0.8996,0.87602,0.84549,0.86607,0.72796,0.5291,1.78838,0.0461,0.25965,0.9652,0.004753,0.004753,0.004753
55,9958.3,0.64476,2.79899,0.24289,0.39862,1.08471,0.971,0.98114,0.99126,0.89973,0.87552,0.84613,0.86638,0.72827,0.52825,1.78324,0.04588,0.25909,0.96447,0.004654,0.004654,0.004654
56,10132.4,0.64175,2.75468,0.23881,0.39642,1.07983,0.97172,0.98037,0.99104,0.90019,0.87686,0.84754,0.86739,0.7296,0.52727,1.77676,0.04556,0.2591,0.96378,0.004555,0.004555,0.004555
57,10304.6,0.63484,2.75785,0.24002,0.39482,1.07854,0.9715,0.9805,0.99107,0.90021,0.87785,0.8472,0.86766,0.73007,0.52662,1.77187,0.04529,0.25856,0.96343,0.004456,0.004456,0.004456
58,10477.5,0.63153,2.71308,0.23855,0.3908,1.07401,0.97073,0.98042,0.99103,0.90022,0.87807,0.8495,0.86858,0.73104,0.52585,1.76574,0.04515,0.25879,0.96293,0.004357,0.004357,0.004357
59,10647.8,0.63317,2.72246,0.23992,0.39234,1.07754,0.97081,0.97999,0.99109,0.90009,0.87751,0.84962,0.8686,0.73098,0.52516,1.76307,0.04505,0.25793,0.9623,0.004258,0.004258,0.004258
60,10830.3,0.62399,2.70219,0.23676,0.38517,1.06932,0.97142,0.97948,0.9911,0.90046,0.87757,0.85013,0.86938,0.73233,0.52443,1.75705,0.04481,0.25751,0.96185,0.004159,0.004159,0.004159
61,11011.5,0.6266,2.67466,0.23657,0.38311,1.07307,0.97311,0.97834,0.99113,0.9011,0.87702,0.85158,0.86969,0.73369,0.5237,1.75054,0.04457,0.25708,0.96149,0.00406,0.00406,0.00406
62,11187.9,0.62734,2.68756,0.23575,0.38756,1.07434,0.97384,0.9772,0.99114,0.90129,0.87764,0.85099,0.86971,0.7343,0.52321,1.74763,0.04447,0.25686,0.96119,0.003961,0.003961,0.003961
63,11363.7,0.62256,2.64513,0.23223,0.38308,1.0718,0.97477,0.9763,0.99136,0.90151,0.87656,0.8509,0.8697,0.73518,0.52275,1.74443,0.04417,0.25636,0.9608,0.003862,0.003862,0.003862
64,11533,0.62313,2.64645,0.23197,0.38323,1.07049,0.97496,0.97668,0.99136,0.90146,0.87796,0.85192,0.87004,0.73568,0.52203,1.73933,0.04407,0.25605,0.96019,0.003763,0.003763,0.003763
65,11702,0.61933,2.61311,0.23037,0.381,1.06874,0.97505,0.97627,0.99114,0.90159,0.87708,0.85206,0.86991,0.73634,0.52134,1.73524,0.04383,0.25557,0.95973,0.003664,0.003664,0.003664
66,11871.1,0.61249,2.59421,0.23066,0.37802,1.0638,0.97457,0.97693,0.99115,0.90172,0.87793,0.85238,0.87009,0.73656,0.5208,1.73195,0.04366,0.25554,0.95938,0.003565,0.003565,0.003565
67,12040.3,0.61325,2.57025,0.23014,0.37567,1.0674,0.97496,0.97741,0.99137,0.90234,0.87834,0.85345,0.87271,0.73739,0.51994,1.72697,0.04348,0.25492,0.95873,0.003466,0.003466,0.003466
68,12209.1,0.61397,2.58852,0.22967,0.3774,1.0685,0.97257,0.97936,0.99138,0.90236,0.87905,0.85357,0.87418,0.73739,0.51925,1.72361,0.04325,0.25457,0.95822,0.003367,0.003367,0.003367
69,12377.9,0.60975,2.54513,0.22646,0.37236,1.06661,0.97252,0.97961,0.99116,0.90246,0.87961,0.85478,0.8748,0.73804,0.51888,1.71916,0.0432,0.25435,0.958,0.003268,0.003268,0.003268
70,12546.6,0.6065,2.52353,0.22606,0.36699,1.06208,0.97406,0.9777,0.99117,0.90257,0.88049,0.85447,0.87528,0.73857,0.51839,1.71599,0.04307,0.254,0.95766,0.003169,0.003169,0.003169
71,12715.4,0.60105,2.49505,0.22524,0.3676,1.05609,0.97411,0.97831,0.99115,0.90284,0.88058,0.85523,0.87587,0.73912,0.51786,1.71346,0.04298,0.2537,0.95735,0.00307,0.00307,0.00307
72,12884.4,0.60119,2.48852,0.22531,0.3626,1.05949,0.97421,0.97846,0.99116,0.90302,0.88309,0.85379,0.87615,0.73964,0.51733,1.7109,0.0429,0.25343,0.95701,0.002971,0.002971,0.002971
73,13053.2,0.60065,2.49432,0.22382,0.3662,1.05923,0.97438,0.97904,0.99117,0.90321,0.88308,0.85469,0.87655,0.74003,0.51689,1.70729,0.04276,0.25293,0.95674,0.002872,0.002872,0.002872
74,13222.1,0.59753,2.47251,0.2231,0.36557,1.06066,0.97364,0.97999,0.99118,0.90321,0.88304,0.85561,0.87699,0.74034,0.51641,1.70356,0.04268,0.25267,0.9564,0.002773,0.002773,0.002773
75,13390.8,0.59562,2.43069,0.22119,0.36081,1.05612,0.97363,0.97986,0.99117,0.90343,0.88451,0.85402,0.87701,0.74108,0.51587,1.70046,0.04262,0.25229,0.95603,0.002674,0.002674,0.002674
76,13559.5,0.58872,2.41377,0.22157,0.35732,1.0534,0.97509,0.9777,0.99118,0.90353,0.88375,0.85612,0.87778,0.74151,0.51516,1.69763,0.04255,0.25194,0.95554,0.002575,0.002575,0.002575
77,13728.5,0.59369,2.41176,0.21951,0.36092,1.0564,0.97546,0.97781,0.9912,0.90382,0.88332,0.85638,0.87772,0.74264,0.51447,1.69341,0.04246,0.25162,0.95509,0.002476,0.002476,0.002476
78,13897.2,0.59277,2.4193,0.22,0.3597,1.05862,0.97531,0.97821,0.9912,0.90403,0.88276,0.85686,0.87775,0.74303,0.51365,1.69047,0.04239,0.25113,0.95451,0.002377,0.002377,0.002377
79,14065.9,0.58667,2.39993,0.21798,0.35731,1.05176,0.97596,0.97795,0.99121,0.90413,0.88336,0.85801,0.87839,0.74373,0.51316,1.68793,0.04229,0.2509,0.95416,0.002278,0.002278,0.002278
80,14235.6,0.58304,2.35025,0.21701,0.35621,1.05045,0.97597,0.97783,0.99121,0.90446,0.88379,0.85867,0.87885,0.74459,0.51249,1.6844,0.04221,0.25057,0.95368,0.002179,0.002179,0.002179
81,14404.7,0.58593,2.35202,0.21668,0.35467,1.05234,0.97596,0.97781,0.99126,0.90464,0.88471,0.85842,0.87926,0.74457,0.5118,1.68123,0.04207,0.25029,0.95309,0.00208,0.00208,0.00208
82,14573.2,0.58146,2.3375,0.21631,0.35323,1.04933,0.97608,0.97781,0.99126,0.90488,0.8849,0.85867,0.87922,0.74564,0.51138,1.67771,0.04195,0.24995,0.9528,0.001981,0.001981,0.001981
83,14742.2,0.57749,2.30829,0.21513,0.35011,1.04772,0.97572,0.97834,0.99127,0.90501,0.88558,0.85909,0.87981,0.74639,0.51085,1.67376,0.0419,0.24971,0.95241,0.001882,0.001882,0.001882
84,14911.3,0.57908,2.30694,0.21394,0.34995,1.04848,0.97634,0.97821,0.99128,0.90521,0.88483,0.85956,0.87996,0.74698,0.5104,1.67067,0.04179,0.2494,0.95198,0.001783,0.001783,0.001783
85,15094.2,0.57525,2.28491,0.21232,0.34726,1.04708,0.97648,0.97859,0.99129,0.90523,0.88479,0.85927,0.87996,0.74725,0.50994,1.66743,0.04172,0.2491,0.95157,0.001684,0.001684,0.001684
86,15277,0.56777,2.23333,0.21224,0.34346,1.04147,0.97697,0.97859,0.99131,0.90556,0.88416,0.85982,0.88038,0.74793,0.50952,1.66437,0.0416,0.24909,0.95118,0.001585,0.001585,0.001585
87,15459.9,0.57004,2.24349,0.20969,0.34563,1.04332,0.97673,0.97874,0.99133,0.90585,0.88463,0.86085,0.88065,0.74843,0.50899,1.66089,0.0415,0.24858,0.95077,0.001486,0.001486,0.001486
